INSERT INTO
   AB_test.Metrics (User_ID, first_metric, second_metric)
VALUES
(7170, 402, 161),
(11266, 875, 372),
(22707, 659, 998),
(21072, 343, 231),
(17093, 804, 891),
(22575, 682, 309),
(24786, 877, 523),
(5814, 848, 110),
(14284, 212, 896),
(4272, 424, 656),
(14628, 286, 519),
(21577, 598, 220),
(8197, 592, 413),
(27155, 148, 581),
(17836, 865, 995),
(13657, 286, 884),
(22742, 499, 541),
(26890, 222, 552),
(332, 301, 822),
(13846, 523, 773),
(14067, 498, 385),
(237, 161, 845),
(12827, 402, 439),
(165, 454, 252),
(4657, 551, 912),
(9874, 867, 640),
(21280, 868, 303),
(21179, 388, 635),
(2168, 238, 429),
(6833, 399, 665),
(10438, 407, 169),
(10061, 669, 712),
(577, 132, 310),
(27674, 687, 306),
(20288, 909, 641),
(6364, 385, 282),
(27926, 640, 591),
(8802, 441, 673),
(18782, 744, 678),
(17530, 443, 602),
(29074, 980, 145),
(6548, 241, 626),
(2800, 370, 576),
(3299, 777, 750),
(251, 737, 561),
(23317, 805, 207),
(23222, 660, 740),
(2310, 344, 897),
(29756, 404, 650),
(2270, 505, 863),
(1672, 970, 777),
(4092, 522, 576),
(16344, 905, 900),
(7801, 208, 391),
(8829, 165, 822),
(26304, 805, 539),
(12877, 565, 430),
(11274, 517, 877),
(26154, 395, 737),
(28075, 264, 338),
(28050, 774, 367),
(21383, 132, 670),
(4365, 578, 218),
(21693, 208, 150),
(17958, 430, 764),
(5886, 389, 303),
(28796, 521, 321),
(27731, 725, 938),
(19557, 213, 837),
(25030, 218, 142),
(3063, 190, 868),
(27723, 787, 929),
(14317, 243, 319),
(18910, 335, 880),
(7454, 767, 533),
(13730, 313, 603),
(14412, 823, 137),
(12803, 457, 364),
(7145, 978, 738),
(27416, 359, 814),
(26151, 287, 325),
(2264, 657, 637),
(20800, 998, 201),
(11511, 803, 501),
(12971, 121, 717),
(28917, 570, 211),
(285, 935, 867),
(1885, 165, 709),
(15207, 546, 325),
(8732, 890, 330),
(10891, 713, 714),
(21441, 675, 259),
(443, 414, 943),
(3266, 174, 986),
(18130, 282, 448),
(24330, 782, 792),
(7459, 463, 110),
(10204, 559, 767),
(9536, 595, 195),
(25804, 743, 338),
(21250, 607, 462),
(15569, 366, 880),
(6369, 374, 549),
(17598, 464, 975),
(14666, 629, 840),
(27780, 455, 499),
(22796, 614, 744),
(13254, 491, 547),
(21296, 178, 861),
(29295, 739, 838),
(20288, 923, 714),
(12515, 594, 300),
(11790, 727, 303),
(264, 139, 154),
(17561, 396, 592),
(3555, 416, 964),
(17662, 921, 150),
(4709, 977, 717),
(21007, 483, 984),
(29734, 251, 259),
(18960, 936, 264),
(237, 977, 567),
(20101, 782, 107),
(19256, 313, 340),
(13027, 369, 294),
(2307, 339, 933),
(25486, 443, 579),
(11413, 935, 957),
(25942, 130, 748),
(23760, 290, 858),
(598, 669, 519),
(19112, 583, 687),
(29702, 631, 883),
(27154, 127, 834),
(8499, 148, 133),
(340, 483, 443),
(8097, 444, 967),
(29190, 479, 494),
(16870, 724, 117),
(11329, 399, 355),
(21299, 568, 365),
(24567, 277, 612),
(24986, 693, 205),
(1772, 765, 237),
(19816, 112, 235),
(2387, 417, 521),
(13491, 226, 116),
(26271, 178, 923),
(5622, 415, 984),
(7577, 262, 738),
(6614, 523, 294),
(1589, 295, 306),
(6783, 856, 775),
(12579, 991, 205),
(15244, 600, 876),
(1590, 691, 300),
(10312, 408, 312),
(6804, 233, 952),
(25975, 611, 490),
(11433, 344, 816),
(28995, 191, 314),
(15299, 518, 149),
(3530, 743, 584),
(1392, 659, 995),
(14700, 339, 414),
(24595, 177, 652),
(18471, 571, 446),
(29955, 800, 101),
(2755, 167, 453),
(11743, 296, 974),
(11981, 258, 920),
(29856, 602, 760),
(14971, 951, 473),
(18269, 210, 686),
(19086, 884, 516),
(2922, 641, 613),
(20437, 434, 277),
(19261, 295, 105),
(9941, 125, 785),
(8367, 761, 304),
(14648, 164, 809),
(8021, 284, 496),
(14841, 927, 708),
(10913, 182, 168),
(11978, 691, 931),
(13180, 424, 836),
(2795, 849, 796),
(21277, 195, 403),
(2652, 214, 527),
(29551, 526, 425),
(16626, 581, 973),
(7032, 477, 334),
(24879, 715, 787),
(5607, 762, 498),
(15067, 595, 120),
(24126, 188, 393),
(12194, 677, 180),
(22453, 372, 452),
(13685, 565, 502),
(2639, 988, 329),
(29443, 167, 298),
(11231, 734, 823),
(25688, 633, 196),
(7173, 302, 530),
(13618, 417, 506),
(13162, 631, 242),
(21791, 284, 988),
(11170, 809, 488),
(23720, 739, 312),
(20849, 863, 531),
(10266, 173, 673),
(18712, 146, 991),
(8822, 347, 331),
(22133, 414, 686),
(28856, 668, 983),
(14603, 892, 901),
(5205, 519, 347),
(27309, 927, 457),
(16828, 502, 426),
(19180, 981, 530),
(4659, 585, 976),
(28432, 478, 464),
(7612, 417, 227),
(1128, 645, 843),
(4915, 420, 908),
(21682, 178, 619),
(1884, 929, 570),
(16799, 168, 646),
(11028, 655, 993),
(11573, 946, 762),
(11012, 689, 398),
(8180, 751, 660),
(26322, 717, 188),
(481, 664, 136),
(19331, 973, 726),
(28285, 173, 770),
(14156, 127, 498),
(26609, 835, 294),
(7257, 537, 474),
(1634, 529, 664),
(23947, 596, 468),
(14893, 957, 101),
(8773, 874, 175),
(15464, 720, 200),
(7974, 295, 914),
(28225, 801, 325),
(6653, 748, 591),
(23554, 354, 267),
(29735, 499, 341),
(5355, 196, 707),
(15117, 536, 945),
(13801, 307, 800),
(23917, 729, 504),
(20655, 417, 686),
(14550, 200, 843),
(19364, 711, 438),
(17739, 729, 786),
(2084, 529, 185),
(25190, 830, 269),
(27088, 219, 494),
(816, 159, 748),
(25688, 176, 644),
(1437, 345, 902),
(4486, 970, 866),
(23390, 193, 422),
(15092, 772, 950),
(984, 673, 683),
(15668, 182, 913),
(12386, 232, 721),
(17931, 289, 263),
(22877, 146, 727),
(26341, 955, 174),
(24591, 211, 340),
(29857, 869, 525),
(17664, 588, 952),
(24282, 475, 491),
(19242, 770, 172),
(17186, 985, 175),
(26945, 270, 394),
(3290, 540, 549),
(11562, 773, 910),
(8576, 599, 201),
(18198, 828, 104),
(24999, 130, 436),
(8758, 258, 414),
(24384, 930, 774),
(26132, 620, 713),
(1836, 926, 674),
(3782, 426, 385),
(1125, 539, 797),
(15343, 113, 876),
(20095, 604, 393),
(2723, 692, 827),
(24822, 885, 381),
(20601, 106, 964),
(4604, 148, 439),
(25298, 208, 949),
(1820, 611, 680),
(25425, 416, 199),
(5495, 772, 743),
(11602, 207, 745),
(1534, 702, 315),
(14897, 118, 948),
(17528, 215, 240),
(12706, 288, 441),
(17223, 768, 700),
(11154, 319, 683),
(3993, 309, 811),
(22209, 425, 252),
(3778, 694, 169),
(22726, 780, 995),
(24160, 411, 909),
(3683, 912, 133),
(29636, 148, 271),
(7183, 236, 987),
(13218, 110, 400),
(5277, 348, 102),
(28393, 550, 849),
(18978, 482, 560),
(24254, 988, 445),
(27917, 840, 241),
(21676, 574, 445),
(12795, 739, 510),
(16557, 743, 157),
(19451, 979, 611),
(17920, 449, 890),
(26784, 703, 681),
(8921, 201, 911),
(5287, 389, 278),
(1048, 665, 557),
(3314, 358, 577),
(19749, 636, 975),
(21987, 469, 718),
(3030, 579, 437),
(779, 140, 763),
(8657, 832, 568),
(24486, 228, 423),
(1800, 124, 105),
(16800, 956, 868),
(18074, 200, 236),
(370, 732, 103),
(10173, 467, 893),
(16380, 605, 146),
(13453, 412, 178),
(22071, 447, 123),
(16472, 875, 862),
(10977, 148, 281),
(7912, 1000, 707),
(618, 566, 887),
(5642, 649, 666),
(4737, 766, 717),
(28117, 142, 148),
(1665, 770, 789),
(14078, 699, 478),
(8228, 236, 373),
(21183, 208, 732),
(16632, 112, 765),
(11995, 943, 871),
(6773, 479, 195),
(21077, 494, 200),
(28009, 831, 744),
(12475, 148, 955),
(7659, 743, 963),
(25570, 602, 625),
(6621, 401, 836),
(28375, 515, 116),
(25522, 590, 237),
(21022, 625, 818),
(9414, 336, 185),
(21649, 424, 902),
(8892, 281, 607),
(23733, 335, 932),
(29911, 214, 111),
(2012, 607, 179),
(21896, 757, 184),
(11960, 469, 535),
(965, 713, 876),
(6665, 475, 876),
